xgcswgs84,ygcswgs84
11.535019056,48.110557973
11.549169983,48.191078211
11.610602449,48.154677371
11.541830246,48.186230478
11.536572828,48.151660046
11.534770109,48.140097863
11.541686765,48.186183751
11.445978304,48.14592852
11.592437445,48.105724112
11.605432803,48.108721302
11.496743769,48.143708815
11.531594802,48.131941977
11.572875604,48.111945403
11.620644492,48.204030936
11.518004187,48.119831445
11.618716269,48.108949533
11.541293152,48.100788792
11.586139121,48.205622013
11.454061821,48.148313218
11.604124383,48.108557749
11.625956403,48.101491665
11.493738385,48.144004271
11.537973818,48.165743693
11.586154068,48.205692903
11.584961809,48.181793332
11.48730655,48.123829798
11.584602928,48.184266628
11.501893343,48.14310767
11.554010812,48.226667803
11.51501443,48.141794526
11.524083548,48.140779906
11.584307984,48.188059393
11.488363162,48.086156318
11.513932215,48.089909121
11.62705408,48.216844565
11.614193023,48.189121985
11.502159393,48.192998403
11.674020433,48.137407664
11.47190769,48.145424508
11.495380919,48.194536535
11.581054492,48.105558138
11.617115075,48.196327344
11.585241857,48.200907698
11.52970203,48.217716746
11.480278716,48.216690757
11.550363294,48.077481658
11.502915855,48.143314234
11.585438983,48.200940143
11.620226885,48.120336217
11.617715953,48.111568167
11.437571638,48.191439513
11.618008046,48.116114592
11.620495116,48.124639821
11.534151192,48.140084275
11.656148162,48.093207716
11.527843081,48.224257383
11.615920374,48.130964272
11.536991272,48.11058187
11.573392342,48.111978324
11.513394752,48.141982081
11.537557873,48.16173935
11.484670566,48.212765581
11.435146224,48.144428893
11.580237569,48.106831024
11.430305038,48.182812731
11.485481871,48.114121971
11.479201333,48.115393219
11.620093782,48.120350145
11.521065781,48.124989807
11.524234702,48.140685768
11.620194749,48.12062128
11.512303629,48.10773038
11.598522691,48.107380079
11.617660472,48.115363665
11.668398151,48.12025698
11.683344706,48.118414165
11.498010908,48.212132095
11.40697077,48.140406151
11.502936546,48.142969485
11.569576455,48.111941858
11.537458544,48.158292154
11.672904587,48.137589148
11.517389243,48.124108502
11.537301555,48.157965044
11.493174568,48.210213006
11.503175653,48.142944025
11.486409509,48.086649765
11.63151648,48.221664055
11.683736602,48.118482537
11.541168738,48.186349989
11.707420714,48.111888649
11.616511962,48.113551698
11.560646141,48.176113189
11.567476092,48.227014134
11.635570801,48.127200491
11.619541397,48.201459013
11.55393677,48.176092103
11.517164365,48.117798821
11.502518155,48.112155369
11.5340835,48.134975111
11.676930622,48.119376265
11.551344467,48.18660471
11.485712638,48.208484438
11.498823708,48.100918522
11.548099215,48.176277931
11.462117739,48.177104107
11.596387187,48.106737182
11.480385297,48.20955813
11.457020412,48.153037598
11.537566985,48.224371954
11.624913102,48.21258221
11.484659729,48.212779986
11.70710233,48.111953071
11.431657631,48.143929127
11.710175842,48.141477075
11.58506397,48.179404925
11.486298023,48.086476415
11.551500772,48.176242835
11.708728421,48.138025173
11.535663904,48.110358906
11.529071895,48.109972637
11.45703794,48.153181467
11.608387758,48.109108153
11.495773484,48.086367788
11.502985591,48.087438074
11.465435321,48.148196495
11.584292737,48.104738524
11.599345471,48.161312814
11.534455478,48.139845165
11.706752663,48.111890043
11.429805905,48.14366859
11.606768134,48.184625493
11.615912465,48.090459795
11.636635165,48.104862749
11.534796699,48.143180331
11.461158258,48.207297075
11.546441706,48.112025058
11.563429638,48.095744212
11.402573447,48.158526085
11.582431568,48.104886
11.604068705,48.108550865
11.664034221,48.138847245
11.548734187,48.074169864
11.530538921,48.082247406
11.534491123,48.137221299
11.502936546,48.142969485
11.605160249,48.108686808
11.446572974,48.146005078
11.587241688,48.210288783
11.541195232,48.10127274
11.50298586,48.142964234
11.617408437,48.112154715
11.625529626,48.103096853
11.624877812,48.212111155
11.512398973,48.142093332
11.550856692,48.176249247
11.478993785,48.145194866
11.395144159,48.179894388
11.526211837,48.140619509
11.516863174,48.115410176
11.530130923,48.140238154
11.615874834,48.194373527
11.62854045,48.221153939
11.477304011,48.115492971
11.534543145,48.137830591
11.569970135,48.104659504
11.493448415,48.1440326
11.50882346,48.125280335
11.585412021,48.104671574
11.50809177,48.105598148
11.536909484,48.151829788
11.485637352,48.210288082
11.617103662,48.130782235
11.631695606,48.127963706
11.523231663,48.12720468
11.61696468,48.13073084
11.622846793,48.105122342
11.453312007,48.147006049
11.493290682,48.210109341
11.541950396,48.186269607
11.487020499,48.209090865
11.398270476,48.17969416
11.637849415,48.22082769
11.645042034,48.087250342
11.581620856,48.105925296
11.645935652,48.125868733
11.582080029,48.104481438
11.584538042,48.196671005
11.585920309,48.20458422
11.502884387,48.142976264
11.700233002,48.139666127
11.540025776,48.1073447
11.630992664,48.169976197
11.432744507,48.181255458
11.664591032,48.121381413
11.567839811,48.112932584
