Unnamed: 0,land,regbez,kreis,gemeinde,jahr,monat,stunde,wochentag,kategorie,art,typ,licht,strzustand,ist_rad,ist_pkw,ist_fuss,ist_krad,ist_gkfz,ist_sonstige,linrefx,linrefy,xgcswgs84,ygcswgs84,ags
63926,9,1,62,0,2016,2,7,4,3,4,2,0,0,0,1,0,0,0.0,0,689446.4801,5340680.3873,11.549169983,48.191078211,09162000
63951,9,1,62,0,2016,2,13,6,3,2,6,0,0,0,1,0,0,0.0,0,694149.0552,5336788.2437,11.610602449,48.154677371,09162000
63984,9,1,62,0,2016,2,15,7,3,8,1,0,1,0,1,0,0,0.0,0,688918.8795,5340123.5489,11.541830246,48.186230478,09162000
64024,9,1,62,0,2016,2,10,5,3,3,2,0,0,1,1,0,0,0.0,0,688654.9783,5336268.5738,11.536572828,48.151660046,09162000
64082,9,1,62,0,2016,2,8,3,3,5,3,0,0,0,1,0,0,0.0,0,688563.2831,5334979.1665,11.534770109,48.140097863,09162000
64089,9,1,62,0,2016,2,19,7,3,2,6,2,0,0,1,0,0,0.0,0,688908.388,5340118.003,11.541686765,48.186183751,09162000
64091,9,1,62,0,2016,2,7,5,3,5,3,0,0,0,1,0,0,0.0,0,681937.8271,5335413.2249,11.445978304,48.14592852,09162000
64092,9,1,62,0,2016,2,13,5,3,1,6,0,0,0,1,0,0,0.0,0,692981.669,5331302.049,11.592437445,48.105724112,09162000
64097,9,1,62,0,2016,2,12,2,3,2,6,0,0,0,1,0,0,0.0,1,693937.692,5331667.827,11.605432803,48.108721302,09162000
64135,9,1,62,0,2016,2,12,4,3,4,2,0,0,0,1,0,0,0.0,0,685721.6406,5335287.9167,11.496743769,48.143708815,09162000
64160,9,1,62,0,2016,2,10,6,3,2,6,0,0,0,1,0,0,0.0,1,688356.9324,5334064.9654,11.531594802,48.131941977,09162000
64161,9,1,62,0,2016,2,14,4,3,2,6,0,0,0,1,0,0,0.0,0,691502.4584,5331944.568,11.572875604,48.111945403,09162000
64197,9,1,62,0,2016,2,15,1,3,8,7,0,0,0,1,0,0,0.0,0,694708.726,5342298.642,11.620644492,48.204030936,09162000
64221,9,1,62,0,2016,2,13,7,3,1,6,0,0,0,1,0,0,0.0,1,687389.9,5332685.8396,11.518004187,48.119831445,09162000
64237,9,1,62,0,2016,2,16,1,3,5,3,0,0,0,1,0,0,0.0,0,694925.521,5331726.7685,11.618716269,48.108949533,09162000
64242,9,1,62,0,2016,2,13,4,3,5,2,0,0,1,1,0,0,0.0,0,689192.8669,5330626.5168,11.541293152,48.100788792,09162000
64299,9,1,62,0,2016,2,16,7,3,6,4,0,1,0,1,1,0,0.0,0,692139.2849,5342388.5721,11.586139121,48.205622013,09162000
64343,9,1,62,0,2016,2,9,4,2,6,4,0,1,0,1,1,0,0.0,0,682530.5983,5335697.4156,11.454061821,48.148313218,09162000
64367,9,1,62,0,2016,2,14,5,3,5,3,0,1,0,1,0,0,0.0,1,693840.9212,5331646.3524,11.604124383,48.108557749,09162000
